Day,Real_Consumption_kWh,Predicted_Consumption_kWh,Difference,Absolute_Error
2024-09-07,115.1878,199.22693737041885,84.03913737041886,84.03913737041886
2024-09-08,135.2976,154.78174488463839,19.484144884638397,19.484144884638397
2024-09-09,404.4696,363.36415123754193,-41.10544876245808,41.10544876245808
2024-09-10,318.2588,365.1662310851243,46.9074310851243,46.9074310851243
2024-09-11,323.46540000000005,393.93391265373793,70.46851265373789,70.46851265373789
2024-09-12,467.9408,432.49489245433756,-35.445907545662465,35.445907545662465
2024-09-13,252.2691,362.3799460147774,110.11084601477737,110.11084601477737
2024-09-14,142.5797,241.04524304446142,98.46554304446141,98.46554304446141
2024-09-15,137.2317,167.934357350062,30.702657350061997,30.702657350061997
2024-09-16,637.0792,499.92978737731386,-137.14941262268616,137.14941262268616
2024-09-17,297.2824,388.12599048896084,90.84359048896084,90.84359048896084
2024-09-18,329.6131,472.3350242182927,142.7219242182927,142.7219242182927
2024-09-19,341.1581,326.2911264901155,-14.866973509884474,14.866973509884474
2024-09-20,233.3688,248.11701306592593,14.748213065925938,14.748213065925938
2024-09-21,116.5648,93.31944516363302,-23.245354836366985,23.245354836366985
2024-09-22,113.7247,103.61059339655597,-10.114106603444029,10.114106603444029
2024-09-23,400.8329,411.927591918469,11.094691918468982,11.094691918468982
2024-09-24,437.6292,316.5375885983892,-121.0916114016108,121.0916114016108
2024-09-25,381.949,313.01748265996656,-68.93151734003345,68.93151734003345
2024-09-26,341.4973,401.13497990349873,59.637679903498736,59.637679903498736
2024-09-27,303.1919,311.10982901512216,7.9179290151221835,7.9179290151221835
2024-09-28,201.1285,183.71682406073705,-17.41167593926295,17.41167593926295
2024-09-29,124.4246,167.32240670422047,42.89780670422047,42.89780670422047
2024-09-30,437.8325,439.07014916451277,1.2376491645127885,1.2376491645127885
2024-10-01,412.1783,388.6376822047055,-23.54061779529445,23.54061779529445
2024-10-02,332.7738,396.50849442408713,63.73469442408714,63.73469442408714
2024-10-03,485.1871,398.8620535801262,-86.32504641987379,86.32504641987379
2024-10-04,306.83050000000003,293.9506393713031,-12.879860628696918,12.879860628696918
2024-10-05,158.539,229.31779697684206,70.77879697684207,70.77879697684207
2024-10-06,117.7756,118.38653805540697,0.6109380554069759,0.6109380554069759
2024-10-07,569.9702,429.43947280784187,-140.5307271921581,140.5307271921581
2024-10-08,700.9435,484.2532593547741,-216.69024064522586,216.69024064522586
2024-10-09,652.6341,556.1736369931468,-96.46046300685316,96.46046300685316
2024-10-10,396.9136,546.3859941073435,149.47239410734358,149.47239410734358
2024-10-11,325.009,411.7425146209435,86.73351462094348,86.73351462094348
2024-10-12,120.4775,122.06399191828301,1.5864919182830022,1.5864919182830022
2024-10-13,117.5669,130.8883929021933,13.321492902193285,13.321492902193285
2024-10-14,702.6662,511.30617051863777,-191.36002948136223,191.36002948136223
2024-10-15,398.5983,511.56013571821484,112.96183571821484,112.96183571821484
2024-10-16,623.2105,621.3312478953028,-1.8792521046972297,1.8792521046972297
2024-10-17,721.8591,465.19151792481046,-256.66758207518956,256.66758207518956
2024-10-18,315.887,420.6453727783288,104.7583727783288,104.7583727783288
2024-10-19,119.584,292.8446843685383,173.2606843685383,173.2606843685383
2024-10-20,117.7587,116.04548649470348,-1.7132135052965225,1.7132135052965225
2024-10-21,634.3928000000001,584.5832741331784,-49.80952586682167,49.80952586682167
2024-10-22,742.1302000000001,628.9429455196603,-113.18725448033979,113.18725448033979
2024-10-23,494.6328,552.6763316585163,58.04353165851637,58.04353165851637
2024-10-24,600.6071999999999,675.9061460702401,75.29894607024016,75.29894607024016
2024-10-25,499.8587,354.12417513898265,-145.73452486101735,145.73452486101735
2024-10-26,119.0581,169.58923705631773,50.53113705631773,50.53113705631773
2024-10-27,121.6908,197.40183512938526,75.71103512938527,75.71103512938527
2024-10-28,572.4237,521.271753889309,-51.15194611069103,51.15194611069103
2024-10-29,592.2479000000001,522.6287127471721,-69.61918725282794,69.61918725282794
2024-10-30,446.23,532.0356617977782,85.80566179777816,85.80566179777816
2024-10-31,487.7424,538.3110964395596,50.56869643955963,50.56869643955963
2024-11-01,116.7567,301.03908983610944,184.28238983610945,184.28238983610945
2024-11-02,125.6303,175.77559290984146,50.14529290984146,50.14529290984146
2024-11-03,116.69,41.382694455216196,-75.3073055447838,75.3073055447838
2024-11-04,616.3621,573.2676907666817,-43.0944092333184,43.0944092333184
2024-11-05,792.7226,633.0537115482834,-159.6688884517166,159.6688884517166
2024-11-06,424.6766,536.4412691071777,111.76466910717772,111.76466910717772
2024-11-07,584.9278,605.4534685013416,20.525668501341556,20.525668501341556
2024-11-08,528.6543,418.6330406236441,-110.02125937635594,110.02125937635594
2024-11-09,131.3397,242.6254089309641,111.28570893096412,111.28570893096412
2024-11-10,122.1924,255.11759400043758,132.92519400043756,132.92519400043756
2024-11-11,122.8426,298.46661961741944,175.62401961741944,175.62401961741944
2024-11-12,877.3371,651.9624296238476,-225.37467037615238,225.37467037615238
2024-11-13,430.5119,327.44966612674705,-103.06223387325298,103.06223387325298
2024-11-14,601.4309000000001,656.4602350698207,55.029335069820604,55.029335069820604
2024-11-15,460.2226,409.051309288517,-51.17129071148298,51.17129071148298
2024-11-16,124.5966,227.19727716625496,102.60067716625497,102.60067716625497
2024-11-17,122.4717,135.0937225366601,12.622022536660097,12.622022536660097
2024-11-18,820.9917,520.5116688219016,-300.48003117809844,300.48003117809844
2024-11-19,610.7048,681.2060764285986,70.50127642859866,70.50127642859866
2024-11-20,604.5313,720.782737632073,116.25143763207302,116.25143763207302
