Feature,Correlation
consumption_lag_7d,0.7758579399424891
is_weekend,0.7214840072938357
day_of_week_sin,0.5931461474779325
consumption_lag_1d,0.4598248442638241
is_summer,0.2566070425666826
is_winter,0.21477672619902177
is_festive,0.18323782163323243
day_of_week_cos,0.08879264920249595
