Day,Total_consumption
2023-06-12,337.8736
2023-06-13,317.6383
2023-06-14,296.6112
2023-06-15,289.798
2023-06-16,257.3864
2023-06-17,113.0672
2023-06-18,113.2975
2023-06-19,217.86440000000002
2023-06-20,329.2273
2023-06-21,284.1524
2023-06-22,257.0958
2023-06-23,220.06869999999998
2023-06-24,100.447
2023-06-25,99.2808
2023-06-26,255.44330000000002
2023-06-27,253.84580000000005
2023-06-28,209.93519999999998
2023-06-29,230.70210000000003
2023-06-30,207.726
2023-07-01,108.95570000000001
2023-07-02,107.35709999999999
2023-07-03,202.3764
2023-07-04,293.83090000000004
2023-07-05,219.74080000000004
2023-07-06,235.9871
2023-07-07,202.54659999999996
2023-07-08,124.7609
2023-07-09,120.7409
2023-07-10,276.543
2023-07-11,328.06980000000004
2023-07-12,233.32369999999997
2023-07-13,194.13389999999998
2023-07-14,231.8768
2023-07-15,117.8962
2023-07-16,116.9123
2023-07-17,272.9721
2023-07-18,230.9545
2023-07-19,224.32780000000002
2023-07-20,238.01350000000002
2023-07-21,128.5525
2023-07-22,114.80200000000002
2023-07-23,115.58420000000001
2023-07-24,199.69840000000002
2023-07-25,195.882
2023-07-26,210.983
2023-07-27,238.8173
2023-07-28,200.1211
2023-07-29,113.36800000000001
2023-07-30,114.27100000000002
2023-07-31,189.5048
2023-08-01,270.71630000000005
2023-08-02,205.9673
2023-08-03,219.46480000000003
2023-08-04,221.4711
2023-08-05,118.16959999999999
2023-08-06,121.16869999999999
2023-08-07,207.57980000000003
2023-08-08,258.3299
2023-08-09,226.6139
2023-08-10,263.8345
2023-08-11,206.1374
2023-08-12,117.18469999999999
2023-08-13,118.2131
2023-08-14,222.3716
2023-08-15,132.3423
2023-08-16,238.664
2023-08-17,229.62969999999999
2023-08-18,216.43220000000002
2023-08-19,128.13119999999998
2023-08-20,129.52450000000002
2023-08-21,273.44910000000004
2023-08-22,214.76229999999998
2023-08-23,283.9125
2023-08-24,269.475062
2023-08-25,242.548442
2023-08-26,143.040344
2023-08-27,144.9129725490196
2023-08-28,244.437396
2023-08-29,274.70809399999996
2023-08-30,254.468042
2023-08-31,269.475062
2023-09-01,242.548442
2023-09-02,143.040344
2023-09-03,144.9129725490196
2023-09-04,244.437396
2023-09-05,274.70809399999996
2023-09-06,254.468042
2023-09-07,288.54650000000004
2023-09-08,262.8561
2023-09-09,100.17060000000001
2023-09-10,96.45939999999999
2023-09-11,225.3786
2023-09-12,268.46259999999995
2023-09-13,243.306
2023-09-14,232.29980000000003
2023-09-15,243.8446
2023-09-16,111.7589
2023-09-17,112.0894
2023-09-18,206.8091
2023-09-19,259.31159999999994
2023-09-20,218.7912
2023-09-21,225.2176
2023-09-22,202.00979999999998
2023-09-23,108.75
2023-09-24,116.67060000000001
2023-09-25,195.84180000000003
2023-09-26,244.11799999999994
2023-09-27,236.92789999999997
2023-09-28,251.86050000000006
2023-09-29,235.08339999999998
2023-09-30,129.1271
2023-10-01,114.3184
2023-10-02,199.9389
2023-10-03,235.77439999999996
2023-10-04,248.5872
2023-10-05,247.6313
2023-10-06,191.8428
2023-10-07,114.02179999999998
2023-10-08,113.61189999999999
2023-10-09,219.27749999999997
2023-10-10,215.29699999999997
2023-10-11,242.8703
2023-10-12,232.6362
2023-10-13,218.96880000000004
2023-10-14,126.70090000000002
2023-10-15,147.02389999999997
2023-10-16,248.17919999999992
2023-10-17,250.07240000000002
2023-10-18,236.26489999999998
2023-10-19,235.6474
2023-10-20,229.92969999999997
2023-10-21,148.24899999999997
2023-10-22,157.3909
2023-10-23,239.84840000000003
2023-10-24,225.22179999999997
2023-10-25,276.98
2023-10-26,312.1589
2023-10-27,216.52369999999996
2023-10-28,143.12419999999997
2023-10-29,146.00240000000002
2023-10-30,255.89279999999997
2023-10-31,283.8759
2023-11-01,185.4467
2023-11-02,260.9289
2023-11-03,247.51229999999998
2023-11-04,149.1842
2023-11-05,146.3349
2023-11-06,258.18719999999996
2023-11-07,306.67910000000006
2023-11-08,244.6612
2023-11-09,291.26640000000003
2023-11-10,253.87580000000003
2023-11-11,128.6653
2023-11-12,136.2097
2023-11-13,214.85999999999996
2023-11-14,270.9463
2023-11-15,268.0621
2023-11-16,284.4062
2023-11-17,253.1114
2023-11-18,161.8055
2023-11-19,143.8055
2023-11-20,231.54200000000003
2023-11-21,283.2744
2023-11-22,285.589
2023-11-23,281.8935
2023-11-24,268.27879999999993
2023-11-25,175.38580000000002
2023-11-26,171.3467
2023-11-27,232.48030000000006
2023-11-28,325.82930000000005
2023-11-29,310.00820000000004
2023-11-30,324.1699
2023-12-01,308.5284
2023-12-02,201.3606
2023-12-03,196.57199999999997
2023-12-04,271.95709999999997
2023-12-05,276.85299999999995
2023-12-06,313.71819999999997
2023-12-07,385.0034
2023-12-08,292.50870000000003
2023-12-09,180.57969999999997
2023-12-10,168.26229999999998
2023-12-11,253.3711
2023-12-12,285.9787
2023-12-13,268.60159999999996
2023-12-14,291.8138
2023-12-15,271.7808
2023-12-16,167.91680000000002
2023-12-17,174.6884
2023-12-18,308.20419999999996
2023-12-19,294.39439999999996
2023-12-20,333.1906
2023-12-21,288.37300000000005
2023-12-22,243.35300000000004
2023-12-23,159.94279999999998
2023-12-24,154.24739999999997
2023-12-25,174.2975
2023-12-26,238.2604
2023-12-27,251.89660000000003
2023-12-28,256.10529999999994
2023-12-29,228.2423
2023-12-30,162.3952
2023-12-31,156.00789999999998
2024-01-01,190.76799999999997
2024-01-02,283.5543
2024-01-03,299.7705
2024-01-04,304.3181
2024-01-05,290.44329999999997
2024-01-06,193.8784
2024-01-07,208.8175
2024-01-08,319.9317
2024-01-09,354.3994
2024-01-10,318.7084
2024-01-11,373.00230000000005
2024-01-12,377.2392
2024-01-13,206.2985
2024-01-14,198.51219999999998
2024-01-15,343.92980000000006
2024-01-16,318.10179999999997
2024-01-17,301.5539
2024-01-18,330.46979999999996
2024-01-19,366.43449999999996
2024-01-20,291.2726
2024-01-21,281.6465
2024-01-22,298.9063
2024-01-23,340.4415
2024-01-24,326.9541
2024-01-25,332.01500000000004
2024-01-26,385.8364
2024-01-27,270.6435
2024-01-28,263.95759999999996
2024-01-29,374.9228
2024-01-30,346.2058
2024-01-31,338.4212
2024-02-01,335.9915
2024-02-02,309.64380000000006
2024-02-03,198.5996
2024-02-04,194.9687
2024-02-05,316.0143
2024-02-06,312.66499999999996
2024-02-07,394.5784
2024-02-08,315.79510000000005
2024-02-09,273.7094
2024-02-10,181.07229999999998
2024-02-11,191.35469999999998
2024-02-12,324.5257
2024-02-13,316.06919999999997
2024-02-14,292.0571
2024-02-15,271.7402
2024-02-16,273.5531
2024-02-17,203.8025
2024-02-18,195.0211
2024-02-19,302.19930000000005
2024-02-20,353.62319999999994
2024-02-21,349.29019999999997
2024-02-22,335.898
2024-02-23,321.9643
2024-02-24,221.8474
2024-02-25,210.87349999999998
2024-02-26,320.05429999999996
2024-02-27,373.59369999999996
2024-02-28,335.60769999999997
2024-02-29,385.47240000000005
2024-03-01,383.59209999999996
2024-03-02,251.57299999999998
2024-03-03,252.10930000000002
2024-03-04,366.2996
2024-03-05,392.85529999999994
2024-03-06,344.227
2024-03-07,430.95029999999997
2024-03-08,292.85080000000005
2024-03-09,194.5633
2024-03-10,193.8994
2024-03-11,340.9702
2024-03-12,370.8215
2024-03-13,297.32399999999996
2024-03-14,386.9102
2024-03-15,247.68949999999998
2024-03-16,187.23559999999998
2024-03-17,188.28000000000003
2024-03-18,282.9607
2024-03-19,297.3981
2024-03-20,296.3238
2024-03-21,316.09499999999997
2024-03-22,284.4273
2024-03-23,209.2915
2024-03-24,216.019
2024-03-25,391.44609999999994
2024-03-26,303.97489999999993
2024-03-27,274.1998
2024-03-28,336.8279
2024-03-29,318.5139
2024-03-30,200.0749
2024-03-31,193.55879999999996
2024-04-01,208.865
2024-04-02,304.2076
2024-04-03,385.4052
2024-04-04,327.1935
2024-04-05,247.7925
2024-04-06,163.03339999999997
2024-04-07,161.6895
2024-04-08,343.42519999999996
2024-04-09,295.64140000000003
2024-04-10,339.39540000000005
2024-04-11,328.9379
2024-04-12,273.433
2024-04-13,166.31189999999998
2024-04-14,169.39999999999998
2024-04-15,316.72130000000004
2024-04-16,516.6722
2024-04-17,320.4963
2024-04-18,333.51579999999996
2024-04-19,281.162
2024-04-20,217.91799999999998
2024-04-21,220.3467
2024-04-22,391.34909999999996
2024-04-23,399.5394
2024-04-24,373.3751
2024-04-25,374.1406
2024-04-26,286.36749999999995
2024-04-27,187.01899999999998
2024-04-28,174.5894
2024-04-29,353.3607
2024-04-30,302.3345
2024-05-01,167.6304
2024-05-02,364.0245
2024-05-03,249.28979999999999
2024-05-04,186.3602
2024-05-05,179.31080000000003
2024-05-06,377.10099999999994
2024-05-07,337.5256
2024-05-08,269.77349999999996
2024-05-09,197.67319999999998
2024-05-10,255.07440000000003
2024-05-11,165.1541
2024-05-12,164.75969999999998
2024-05-13,430.4833000000001
2024-05-14,308.32099999999997
2024-05-15,247.7748
2024-05-16,354.757
2024-05-17,314.936
2024-05-18,168.72790000000003
2024-05-19,166.5126
2024-05-20,178.6839
2024-05-21,355.9598
2024-05-22,285.4634
2024-05-23,312.1597
2024-05-24,278.2842
2024-05-25,177.20600000000002
2024-05-26,161.59969999999998
2024-05-27,315.949
2024-05-28,354.9085
2024-05-29,256.1493
2024-05-30,378.4048
2024-05-31,241.83479999999997
2024-06-01,155.0224
2024-06-02,156.9002
2024-06-03,375.13259999999997
2024-06-04,398.91959999999995
2024-06-05,224.87069999999997
2024-06-06,305.9318
2024-06-07,348.5056
2024-06-08,172.0001489795918
2024-06-09,167.1637
2024-06-10,332.68940000000003
2024-06-11,228.3902
2024-06-12,217.9339
2024-06-13,238.58719999999994
2024-06-14,320.55090000000007
2024-06-15,172.0001489795918
2024-06-16,167.1637
2024-06-17,300.8427
2024-06-18,426.8295
2024-06-19,192.92600000000002
2024-06-20,303.0278
2024-06-21,375.1376
2024-06-22,172.0001489795918
2024-06-23,167.1637
2024-06-24,234.67609999999996
2024-06-25,272.98499999999996
2024-06-26,228.82850000000002
2024-06-27,384.50390000000004
2024-06-28,246.98399999999998
2024-06-29,76.02229999999999
2024-06-30,96.39979999999998
2024-07-01,300.7035000000001
2024-07-02,331.1071000000001
2024-07-03,247.19629999999998
2024-07-04,318.9897
2024-07-05,221.38439999999997
2024-07-06,89.94749999999999
2024-07-07,95.08259999999999
2024-07-08,273.45450000000005
2024-07-09,283.4022
2024-07-10,236.79680000000002
2024-07-11,293.99569999999994
2024-07-12,220.05980000000002
2024-07-13,90.8125
2024-07-14,76.24300000000002
2024-07-15,337.5873
2024-07-16,311.08290000000005
2024-07-17,259.24899999999997
