Week,Measurement,Phase,Consumption
2023-W07,Grid Organi lbc,PHASEA,950369.0
2023-W07,Grid Organi lbc,PHASEB,950369.0
2023-W07,Grid Organi lbc,PHASEC,946469.3999999999
2023-W07,Chargers,PHASEA,929220.0
2023-W07,Chargers,PHASEB,77157.1
2023-W07,Chargers,PHASEC,126022.9
2023-W07,Solar,PHASEA,45554.8
2023-W08,Grid Organi lbc,PHASEA,997496.3999999999
2023-W08,Grid Organi lbc,PHASEB,997496.3999999999
2023-W08,Grid Organi lbc,PHASEC,911512.9
2023-W08,Chargers,PHASEA,912097.4
2023-W08,Chargers,PHASEB,93969.6
2023-W08,Chargers,PHASEC,86993.4
2023-W08,Solar,PHASEA,65130.00000000001
2023-W09,Grid Organi lbc,PHASEA,1042450.8
2023-W09,Grid Organi lbc,PHASEB,1042450.8
2023-W09,Grid Organi lbc,PHASEC,952015.8
2023-W09,Chargers,PHASEA,882344.8
2023-W09,Chargers,PHASEB,106841.90000000001
2023-W09,Chargers,PHASEC,130381.8
2023-W09,Solar,PHASEA,59321.6
2023-W10,Grid Organi lbc,PHASEA,1045116.5
2023-W10,Grid Organi lbc,PHASEB,1045116.5
2023-W10,Grid Organi lbc,PHASEC,955047.3
2023-W10,Chargers,PHASEA,887234.3999999999
2023-W10,Chargers,PHASEB,109214.6
2023-W10,Chargers,PHASEC,116963.40000000001
2023-W10,Solar,PHASEA,74049.9
2023-W11,Grid Organi lbc,PHASEA,940239.5999999999
2023-W11,Grid Organi lbc,PHASEB,940239.5999999999
2023-W11,Grid Organi lbc,PHASEC,993109.5
2023-W11,Chargers,PHASEA,996055.5
2023-W11,Chargers,PHASEB,121870.5
2023-W11,Chargers,PHASEC,165961.5
2023-W11,Solar,PHASEA,94935.5
2023-W12,Grid Organi lbc,PHASEA,880088.4999999999
2023-W12,Grid Organi lbc,PHASEB,880088.4999999999
2023-W12,Grid Organi lbc,PHASEC,918549.0
2023-W12,Chargers,PHASEA,967746.3999999999
2023-W12,Chargers,PHASEB,127005.79999999999
2023-W12,Chargers,PHASEC,114739.4
2023-W12,Solar,PHASEA,80236.7
2023-W13,Grid Organi lbc,PHASEA,890977.6000000001
2023-W13,Grid Organi lbc,PHASEB,890977.6000000001
2023-W13,Grid Organi lbc,PHASEC,904662.3
2023-W13,Chargers,PHASEA,922908.5
2023-W13,Chargers,PHASEB,88634.0
2023-W13,Chargers,PHASEC,107143.90000000002
2023-W13,Solar,PHASEA,66772.5
2023-W14,Grid Organi lbc,PHASEA,888927.4
2023-W14,Grid Organi lbc,PHASEB,888927.4
2023-W14,Grid Organi lbc,PHASEC,844659.2
2023-W14,Chargers,PHASEA,853337.3
2023-W14,Chargers,PHASEB,92361.7
2023-W14,Chargers,PHASEC,52886.200000000004
2023-W14,Solar,PHASEA,25287.600000000002
2023-W15,Grid Organi lbc,PHASEA,795544.6000000001
2023-W15,Grid Organi lbc,PHASEB,795544.6000000001
2023-W15,Grid Organi lbc,PHASEC,791331.3
2023-W15,Chargers,PHASEA,897001.0000000001
2023-W15,Chargers,PHASEB,45288.399999999994
2023-W15,Chargers,PHASEC,18286.9
2023-W15,Solar,PHASEA,16622.9
2023-W16,Grid Organi lbc,PHASEA,882410.8999999999
2023-W16,Grid Organi lbc,PHASEB,882410.8999999999
2023-W16,Grid Organi lbc,PHASEC,937527.7
2023-W16,Chargers,PHASEA,966897.5
2023-W16,Chargers,PHASEB,86437.1
2023-W16,Chargers,PHASEC,129200.20000000001
2023-W16,Solar,PHASEA,48929.9
2023-W17,Grid Organi lbc,PHASEA,911533.8
2023-W17,Grid Organi lbc,PHASEB,911533.8
2023-W17,Grid Organi lbc,PHASEC,947374.2999999999
2023-W17,Chargers,PHASEA,957554.5999999999
2023-W17,Chargers,PHASEB,116095.2
2023-W17,Chargers,PHASEC,94265.4
2023-W17,Solar,PHASEA,36493.7
2023-W18,Grid Organi lbc,PHASEA,836235.6
2023-W18,Grid Organi lbc,PHASEB,836235.6
2023-W18,Grid Organi lbc,PHASEC,952142.0
2023-W18,Chargers,PHASEA,999928.1
2023-W18,Chargers,PHASEB,135322.59999999998
2023-W18,Chargers,PHASEC,81801.5
2023-W18,Solar,PHASEA,52272.8
2023-W19,Grid Organi lbc,PHASEA,872152.0
2023-W19,Grid Organi lbc,PHASEB,872152.0
2023-W19,Grid Organi lbc,PHASEC,926136.7
