Day,Total_consumption
2023-07-19,448.71220000000005
2023-07-20,501.6477
2023-07-21,232.3389
2023-07-22,283.98720000000003
2023-07-23,224.6202
2023-07-24,440.125
2023-07-25,441.49940000000004
2023-07-26,445.5591
2023-07-27,536.7816
2023-07-28,445.6778
2023-07-29,219.59810000000002
2023-07-30,219.09910000000002
2023-07-31,454.2824
2023-08-01,592.2858
2023-08-02,494.1241
2023-08-03,427.72060000000005
2023-08-04,456.4139
2023-08-05,240.0007
2023-08-06,223.849
2023-08-07,530.5687
2023-08-08,534.9643
2023-08-09,451.8157
2023-08-10,578.0736
2023-08-11,426.5419
2023-08-12,221.7436
2023-08-13,221.87619999999998
2023-08-14,430.6102
2023-08-15,239.5483
2023-08-16,522.5545999999999
2023-08-17,368.1642
2023-08-18,451.28520000000003
2023-08-19,234.3029
2023-08-20,234.97750000000002
2023-08-21,523.8791
2023-08-22,515.7755
2023-08-23,620.0935
2023-08-24,368.16
2023-08-25,451.29
2023-08-26,234.3
2023-08-27,234.98
2023-08-28,523.88
2023-08-29,515.78
2023-08-30,620.09
2023-08-31,679.74
2023-09-01,621.16
2023-09-02,234.96
2023-09-03,235.23
2023-09-04,537.38
2023-09-05,662.52
2023-09-06,513.89
2023-09-07,679.7426
2023-09-08,621.1640000000001
2023-09-09,234.95790000000002
2023-09-10,235.2315
2023-09-11,537.3795
2023-09-12,662.5207999999999
2023-09-13,513.8851
2023-09-14,489.87510000000003
2023-09-15,544.0299
2023-09-16,219.7959
2023-09-17,218.5058
2023-09-18,508.1155
2023-09-19,621.1025
2023-09-20,492.023
2023-09-21,490.31960000000004
2023-09-22,595.9461
2023-09-23,229.8845
2023-09-24,242.4639
2023-09-25,513.8442
2023-09-26,580.4937
2023-09-27,576.4058
2023-09-28,580.6869
2023-09-29,579.5541
2023-09-30,338.6874
2023-10-01,244.8126
2023-10-02,651.994
2023-10-03,728.2869999999999
2023-10-04,596.1696
2023-10-05,567.0907
2023-10-06,503.30400000000003
2023-10-07,282.93629999999996
2023-10-08,218.07369999999997
2023-10-09,608.4123
2023-10-10,652.5209
2023-10-11,682.8402
2023-10-12,487.8656
2023-10-13,609.9842
2023-10-14,234.2509
2023-10-15,252.6015
2023-10-16,593.0024999999999
2023-10-17,656.1635
2023-10-18,474.5612
2023-10-19,548.0713000000001
2023-10-20,588.0627999999999
2023-10-21,254.69879999999998
2023-10-22,262.07009999999997
2023-10-23,687.2661
2023-10-24,652.9547
2023-10-25,591.9893
2023-10-26,824.0456
2023-10-27,553.7336
2023-10-28,249.533
2023-10-29,255.7193
2023-10-30,713.7794
2023-10-31,571.1241
2023-11-01,296.888
2023-11-02,618.9788
2023-11-03,622.6812
2023-11-04,254.7438
2023-11-05,250.5741
2023-11-06,579.3562
2023-11-07,817.0227
2023-11-08,588.7952
2023-11-09,753.7354
2023-11-10,658.8321000000001
2023-11-11,224.81279999999998
2023-11-12,230.7483
2023-11-13,531.4914
2023-11-14,869.7053
2023-11-15,612.0491
2023-11-16,764.0203
2023-11-17,592.6484
2023-11-18,265.85470000000004
2023-11-19,246.934
2023-11-20,675.0067
2023-11-21,785.6159
2023-11-22,646.0722
2023-11-23,723.3848
2023-11-24,690.0201
2023-11-25,278.7325
2023-11-26,272.0356
2023-11-27,612.3720000000001
2023-11-28,921.5393
2023-11-29,638.3145000000001
2023-11-30,781.3294
2023-12-01,901.1632
2023-12-02,310.6617
2023-12-03,296.9197
2023-12-04,647.1537999999999
2023-12-05,842.4633
2023-12-06,690.8331
2023-12-07,868.1007
2023-12-08,687.0398
2023-12-09,288.8467
2023-12-10,273.1025
2023-12-11,762.167
2023-12-12,787.5193
2023-12-13,620.5991
2023-12-14,754.2321
2023-12-15,542.1007999999999
2023-12-16,276.3376
2023-12-17,346.2185
2023-12-18,668.548
2023-12-19,768.3221
2023-12-20,853.8988
2023-12-21,698.456
2023-12-22,532.7735
2023-12-23,268.60049999999995
2023-12-24,259.8752
2023-12-25,339.1399
2023-12-26,586.2261
2023-12-27,640.7965
2023-12-28,461.62239999999997
2023-12-29,397.1457
2023-12-30,270.2813
2023-12-31,261.765
2024-01-01,297.11109999999996
2024-01-02,818.147
2024-01-03,710.2161
2024-01-04,844.1829
2024-01-05,633.6674999999999
2024-01-06,301.65029999999996
2024-01-07,313.00829999999996
2024-01-08,913.3824999999999
2024-01-09,694.7386
2024-01-10,782.8964
2024-01-11,780.7915
2024-01-12,1131.2827
2024-01-13,315.7744
2024-01-14,318.7192
2024-01-15,939.9324
2024-01-16,885.8675999999999
2024-01-17,661.7245
2024-01-18,792.105
2024-01-19,866.1616999999999
2024-01-20,401.3642
2024-01-21,406.46970000000005
2024-01-22,746.8093
2024-01-23,858.8537
