iter	RMSE
349	7.378800913
350	7.37715098
351	7.374399768
352	7.371690045
353	7.368994701
354	7.367139742
355	7.363841363
356	7.360796231
357	7.357218
358	7.353985618
359	7.353487902
360	7.35184916
361	7.34918095
362	7.347626037
363	7.345133374
364	7.342109674
365	7.341591402
366	7.339598506
367	7.337926383
368	7.335772217
369	7.333673532
370	7.331494656
371	7.33102437
372	7.329228275
373	7.327061482
374	7.325178499
375	7.322598797
376	7.318831725
377	7.31714657
378	7.313856683
379	7.311830457
380	7.310979409
381	7.308142273
382	7.306939535
383	7.304929912
384	7.301343364
385	7.297988797
386	7.297498275
387	7.294426995
388	7.291700089
389	7.29010906
390	7.288297924
391	7.285397326
392	7.283023518
393	7.280277104
394	7.27980062
395	7.277908243
396	7.275873548
397	7.274379247
398	7.272068294
399	7.270347912
