Day,Real_Consumption_kWh,Predicted_Consumption_kWh,Difference,Absolute_Error
2024-09-06,292.5631,329.81104,37.24793515624998,37.24793515624998
2024-09-07,115.1878,122.59804,7.410237719726567,7.410237719726567
2024-09-08,135.2976,123.54712,-11.750480859374989,11.750480859374989
2024-09-09,404.4696,423.28165,18.81204672851561,18.81204672851561
2024-09-10,318.2588,358.48825,40.22945073242187,40.22945073242187
2024-09-11,323.46540000000005,287.71786,-35.74753500976567,35.74753500976567
2024-09-12,467.9408,338.46298,-129.47781782226565,129.47781782226565
2024-09-13,252.2691,308.9166,56.647495458984366,56.647495458984366
2024-09-14,142.5797,107.31972,-35.25998259277344,35.25998259277344
2024-09-15,137.2317,141.5089,4.277195874023448,4.277195874023448
2024-09-16,637.0792,482.207,-154.87219926757814,154.87219926757814
2024-09-17,297.2824,337.28113,39.998727929687504,39.998727929687504
2024-09-18,329.6131,316.63422,-12.978883691406224,12.978883691406224
2024-09-19,341.1581,366.12424,24.966137060546885,24.966137060546885
2024-09-20,233.3688,288.26767,54.89886967773438,54.89886967773438
2024-09-21,116.5648,133.97556,17.41075541992187,17.41075541992187
2024-09-22,113.7247,113.94525,0.22055146484375143,0.22055146484375143
2024-09-23,400.8329,421.85455,21.021653222656255,21.021653222656255
2024-09-24,437.6292,326.1134,-111.51579667968753,111.51579667968753
2024-09-25,381.949,407.73392,25.784917236328113,25.784917236328113
2024-09-26,341.4973,413.8244,72.32710185546875,72.32710185546875
2024-09-27,303.1919,325.5674,22.37551333007815,22.37551333007815
2024-09-28,201.1285,176.40474,-24.72376062011719,24.72376062011719
2024-09-29,124.4246,188.2671,63.842505102539064,63.842505102539064
2024-09-30,437.8325,379.42,-58.41248657226561,58.41248657226561
2024-10-01,412.1783,489.201,77.02268876953127,77.02268876953127
2024-10-02,332.7738,348.7589,15.985111132812506,15.985111132812506
2024-10-03,485.1871,420.19238,-64.99471718749999,64.99471718749999
2024-10-04,306.83050000000003,293.5251,-13.305414550781279,13.305414550781279
2024-10-05,158.539,170.58289,12.043885742187513,12.043885742187513
2024-10-06,117.7756,136.31065,18.53505368652344,18.53505368652344
2024-10-07,569.9702,415.36862,-154.6015781738281,154.6015781738281
2024-10-08,700.9435,464.93887,-236.00462670898435,236.00462670898435
2024-10-09,652.6341,497.80405,-154.83005336914061,154.83005336914061
2024-10-10,396.9136,651.1248,254.21121689453128,254.21121689453128
2024-10-11,325.009,390.75964,65.75064355468749,65.75064355468749
2024-10-12,120.4775,121.051765,0.574265441894525,0.574265441894525
2024-10-13,117.5669,115.501,-2.06590054931641,2.06590054931641
2024-10-14,702.6662,592.48944,-110.17675908203125,110.17675908203125
2024-10-15,398.5983,439.25595,40.65765092773438,40.65765092773438
2024-10-16,623.2105,351.3033,-271.90718579101565,271.90718579101565
2024-10-17,721.8591,457.0361,-264.82299770507814,264.82299770507814
2024-10-18,315.887,334.15155,18.26455029296875,18.26455029296875
2024-10-19,119.584,166.35852,46.7745205078125,46.7745205078125
2024-10-20,117.7587,122.045,4.286298168945308,4.286298168945308
2024-10-21,634.3928000000001,557.0589,-77.33390107421883,77.33390107421883
2024-10-22,742.1302000000001,713.442,-28.68818339843756,28.68818339843756
2024-10-23,494.6328,532.165,37.532178027343775,37.532178027343775
2024-10-24,600.6071999999999,520.324,-80.28322539062492,80.28322539062492
2024-10-25,499.8587,460.59338,-39.2653162109375,39.2653162109375
2024-10-26,119.0581,140.25482,21.196721777343754,21.196721777343754
2024-10-27,121.6908,102.04476,-19.646038342285152,19.646038342285152
2024-10-28,572.4237,538.424,-33.9996887695313,33.9996887695313
2024-10-29,592.2479000000001,556.2631,-35.98477744140632,35.98477744140632
2024-10-30,446.23,555.63635,109.40635253906248,109.40635253906248
2024-10-31,487.7424,444.07477,-43.667631933593725,43.667631933593725
2024-11-01,116.7567,138.74333,21.986631909179692,21.986631909179692
2024-11-02,125.6303,126.689064,1.0587640258789008,1.0587640258789008
2024-11-03,116.69,119.76698,3.0769830322265648,3.0769830322265648
2024-11-04,616.3621,546.0585,-70.30362832031255,70.30362832031255
2024-11-05,792.7226,719.9171,-72.80548574218756,72.80548574218756
2024-11-06,424.6766,558.11475,133.43814609375,133.43814609375
2024-11-07,584.9278,591.0038,6.0759841796874525,6.0759841796874525
2024-11-08,528.6543,476.39362,-52.260684277343785,52.260684277343785
2024-11-09,131.3397,140.80283,9.463125927734382,9.463125927734382
2024-11-10,122.1924,130.677,8.484601953124994,8.484601953124994
2024-11-11,122.8426,122.97191,0.12930856933593304,0.12930856933593304
2024-11-12,877.3371,630.11554,-247.2215604492187,247.2215604492187
2024-11-13,430.5119,511.12003,80.6081256347656,80.6081256347656
2024-11-14,601.4309000000001,546.35944,-55.071463964843815,55.071463964843815
2024-11-15,460.2226,434.58023,-25.642369287109375,25.642369287109375
2024-11-16,124.5966,145.86879,21.272189672851567,21.272189672851567
2024-11-17,122.4717,127.85504,5.3833415039062515,5.3833415039062515
2024-11-18,820.9917,467.9966,-352.9950874511719,352.9950874511719
2024-11-19,610.7048,738.3989,127.69412578125002,127.69412578125002
2024-11-20,604.5313,565.5787,-38.95262568359374,38.95262568359374
2024-11-21,657.7677,523.7958,-133.9719236328125,133.9719236328125
2024-11-22,397.8483,532.0852,134.236905078125,134.236905078125
2024-11-23,119.2142,113.66772,-5.5464830200195365,5.5464830200195365
2024-11-24,118.361,110.25502,-8.105979858398442,8.105979858398442
2024-11-25,572.9049,603.68805,30.783149316406252,30.783149316406252
2024-11-26,550.8029,607.381,56.57808144531248,56.57808144531248
2024-11-27,439.1455,475.88144,36.73593920898435,36.73593920898435
2024-11-28,849.4416000000001,675.8044,-173.63721767578136,173.63721767578136
2024-11-29,390.18820000000005,334.6368,-55.55138969726568,55.55138969726568
2024-11-30,127.582,128.73788,1.1558845214843814,1.1558845214843814
2024-12-01,145.8891,134.01611,-11.872986718750013,11.872986718750013
2024-12-02,535.5666,618.2816,82.7150162109375,82.7150162109375
2024-12-03,705.5924,640.1643,-65.428093359375,65.428093359375
2024-12-04,306.6052,408.6805,102.07531147460935,102.07531147460935
2024-12-05,656.3477,563.67596,-92.67173564453128,92.67173564453128
2024-12-06,537.4182999999999,344.7081,-192.71020063476556,192.71020063476556
2024-12-07,135.7181,150.92105,15.202951025390632,15.202951025390632
2024-12-08,134.8763,137.79861,2.9223145019531387,2.9223145019531387
2024-12-09,540.7687,566.5713,25.802589062500033,25.802589062500033
2024-12-10,788.531,519.3332,-269.1978090820312,269.1978090820312
2024-12-11,438.09,406.16534,-31.924655761718725,31.924655761718725
2024-12-12,771.9012,672.2715,-99.62971562500002,99.62971562500002
2024-12-13,349.9432,273.25137,-76.69182670898437,76.69182670898437
2024-12-14,123.0269,145.99434,22.967438989257815,22.967438989257815
2024-12-15,139.55110000000002,124.655525,-14.895574792480488,14.895574792480488
2024-12-16,656.1913,511.66962,-144.5216833007812,144.5216833007812
2024-12-17,434.2292,566.29333,132.0641349609375,132.0641349609375
2024-12-18,840.6946,734.9371,-105.75752724609379,105.75752724609379
2024-12-19,462.6693,453.6573,-9.012012402343771,9.012012402343771
2024-12-20,318.44190000000003,348.0312,29.589288964843718,29.589288964843718
2024-12-21,127.617,137.08282,9.465824707031246,9.465824707031246
2024-12-22,118.6055,131.21153,12.606032592773431,12.606032592773431
2024-12-23,525.9037000000001,318.98373,-206.9199658691407,206.9199658691407
2024-12-24,252.2024,286.09695,33.89455434570311,33.89455434570311
2024-12-25,118.5658,139.93831,21.372508715820317,21.372508715820317
2024-12-26,309.3709,226.33946,-83.03143771972657,83.03143771972657
2024-12-27,235.7292,214.79106,-20.938138598632804,20.938138598632804
2024-12-28,119.0051,121.37552,2.3704187988281262,2.3704187988281262
2024-12-29,117.7741,110.87806,-6.896040612792973,6.896040612792973
2024-12-30,436.0687,294.88895,-141.17975346679685,141.17975346679685
2024-12-31,162.95329999999998,160.65274,-2.3005595214843595,2.3005595214843595
2025-01-01,119.0348,118.573494,-0.4613060424804729,0.4613060424804729
2025-01-02,654.6657,481.59775,-173.06795219726564,173.06795219726564
2025-01-03,395.3404,138.31473,-257.02567221679686,257.02567221679686
2025-01-04,118.0118,287.97806,169.96625786132813,169.96625786132813
2025-01-05,116.2913,114.088036,-2.203264416503913,2.203264416503913
2025-01-06,545.0028,275.89322,-269.10958100585935,269.10958100585935
2025-01-07,458.2969000000001,637.3742,179.07730654296864,179.07730654296864
2025-01-08,551.8397,355.9306,-195.90909697265624,195.90909697265624
2025-01-09,732.0563999999999,502.63943,-229.41696518554681,229.41696518554681
2025-01-10,827.0296,594.1423,-232.8873270507812,232.8873270507812
2025-01-11,120.3967,273.4345,153.03780927734374,153.03780927734374
2025-01-12,118.6439,287.23224,168.58833876953125,168.58833876953125
2025-01-13,548.3522,188.8229,-359.5292935058594,359.5292935058594
2025-01-14,815.6001,617.2949,-198.305178125,198.305178125
2025-01-15,578.8237,629.6958,50.87210078124997,50.87210078124997
2025-01-16,569.0576,769.74316,200.68556406250002,200.68556406250002
2025-01-17,804.6219000000001,619.8991,-184.72279111328135,184.72279111328135
2025-01-18,120.5333,348.93756,228.40426103515625,228.40426103515625
2025-01-19,117.5172,209.70175,92.18455170898437,92.18455170898437
2025-01-20,620.8413,463.7668,-157.07448481445317,157.07448481445317
2025-01-21,595.9005,707.36755,111.46705371093753,111.46705371093753
2025-01-22,511.9464,579.7083,67.76191298828127,67.76191298828127
2025-01-23,673.9228,578.7239,-95.19892304687505,95.19892304687505
2025-01-24,310.5502,222.4819,-88.06829692382814,88.06829692382814
2025-01-25,124.17,110.6313,-13.53869812011719,13.53869812011719
2025-01-26,140.86059999999998,121.86057,-19.00002718505857,19.00002718505857
2025-01-27,721.899,406.16132,-315.73768408203125,315.73768408203125
2025-01-28,679.8059000000001,580.4796,-99.32628574218757,99.32628574218757
2025-01-29,615.699,506.31366,-109.3853403320312,109.3853403320312
2025-01-30,530.3507999999999,409.15408,-121.19671674804681,121.19671674804681
2025-01-31,563.4757999999999,494.51572,-68.96008344726556,68.96008344726556
2025-02-01,121.9605,340.2911,218.33060717773438,218.33060717773438
2025-02-02,120.0849,168.97928,48.89437856445312,48.89437856445312
2025-02-03,646.7715000000001,605.71674,-41.05476416015631,41.05476416015631
2025-02-04,712.4478999999999,325.43124,-387.0166561035155,387.0166561035155
2025-02-05,471.8267,568.5794,96.75270673828123,96.75270673828123
2025-02-06,573.6886,555.3812,-18.30737441406245,18.30737441406245
2025-02-07,393.9127,504.13382,110.22111958007815,110.22111958007815
2025-02-08,121.0522,116.21436,-4.837836901855468,4.837836901855468
2025-02-09,118.9713,133.29942,14.328123217773438,14.328123217773438
2025-02-10,621.4021,511.97192,-109.43017617187502,109.43017617187502
2025-02-11,650.6946,670.9261,20.231486425781213,20.231486425781213
