Month,Real_Consumption_kWh,Predicted_Charger_Consumption_kWh,Difference
2024-08-01,7837.7467,8052.3684,214.6217
2024-09-01,8759.6811,8818.7993,59.1182
2024-10-01,13007.3775,12635.3386,-372.0389
2024-11-01,12558.85,12604.6291,45.7791
2024-12-01,11545.8478,11349.4215,-196.4263
2025-01-01,14400.5383,14249.0672,-151.4711
