Date,Consumption [kWh],Grid Organi lbc (L1) [kWh],Grid Organi lbc (L2) [kWh],Grid Organi lbc (L3) [kWh],Chargers (L1) [kWh],Chargers (L2) [kWh],Chargers (L3) [kWh],Solar (L1) [kWh],Solar (L2) [kWh],Solar (L3) [kWh],Chargers achteraan (L1) [kWh],Chargers achteraan (L2) [kWh],Chargers achteraan (L3) [kWh]
2025-03-06 03:00:00,"16,651","6,229","5,566","4,863","0,036","0,034","0,021",0,"-0,006","-0,001","0,024","0,024","0,021"
2025-03-06 02:00:00,"16,61","6,192","5,576","4,85","0,036","0,034","0,02",0,"-0,006","-0,001","0,024","0,024","0,021"
2025-03-06 01:00:00,"16,452","5,98","5,614","4,864","0,036","0,034","0,02",0,"-0,006","-0,001","0,025","0,023","0,02"
2025-03-06 00:00:00,"16,824","6,048","5,878","4,906","0,036","0,034","0,02",0,"-0,006","-0,001","0,025","0,023","0,021"
2025-03-05 23:00:00,"16,326","5,791","5,638","4,904","0,036","0,034","0,019",0,"-0,006","-0,001","0,025","0,023","0,02"
2025-03-05 22:00:00,"16,447","5,812","5,689","4,952","0,037","0,034","0,02",0,"-0,006","-0,001","0,025","0,023","0,02"
2025-03-05 21:00:00,"16,381","5,843","5,62","4,927","0,036","0,034","0,02",0,"-0,006","-0,001","0,025","0,023","0,02"
2025-03-05 20:00:00,"16,413","5,879","5,587","4,954","0,036","0,034","0,02",0,"-0,006","-0,001","0,025","0,023","0,02"
2025-03-05 19:00:00,"16,727","6,076","5,75","4,909","0,037","0,033","0,02",0,"-0,006","-0,001","0,025","0,023","0,021"
2025-03-05 18:00:00,"18,019","6,325","6,309","5,197","0,036","0,033","0,021","0,063","0,059","0,065","0,025","0,023","0,021"
2025-03-05 17:00:00,"21,061","6,43","6,623","5,793","0,036","0,033","0,021","0,734","0,742","0,74","0,025","0,023","0,022"
2025-03-05 16:00:00,"26,902","6,924","6,695","6,125","0,036","0,033","0,02","2,37","2,403","2,386","0,024","0,023","0,022"
