Date,Chargers
2025-04-22 00:00:00,0.158
2025-04-22 01:00:00,0.15799999999999997
2025-04-22 02:00:00,0.15799999999999997
2025-04-22 03:00:00,0.15799999999999997
2025-04-22 04:00:00,0.15799999999999997
2025-04-22 05:00:00,0.15799999999999997
2025-04-22 06:00:00,0.15799999999999997
2025-04-22 07:00:00,41.855000000000004
2025-04-22 08:00:00,105.96099999999998
2025-04-22 09:00:00,113.93
2025-04-22 10:00:00,112.84200000000001
2025-04-22 11:00:00,107.69899999999998
2025-04-22 12:00:00,88.58500000000001
2025-04-22 13:00:00,61.67999999999999
2025-04-22 14:00:00,51.245
2025-04-22 15:00:00,48.354
2025-04-22 16:00:00,15.246999999999998
2025-04-22 17:00:00,2.1769999999999996
2025-04-22 18:00:00,0.158
2025-04-22 19:00:00,0.159
2025-04-22 20:00:00,0.157
2025-04-22 21:00:00,0.158
2025-04-22 22:00:00,0.158
2025-04-22 23:00:00,0.159
2025-04-23 00:00:00,0.15999999999999998
2025-04-23 01:00:00,0.15899999999999997
2025-04-23 02:00:00,0.159
2025-04-23 03:00:00,0.15899999999999997
2025-04-23 04:00:00,0.15899999999999997
2025-04-23 05:00:00,0.15799999999999997
2025-04-23 06:00:00,0.72
2025-04-23 07:00:00,33.885999999999996
2025-04-23 08:00:00,85.972
2025-04-23 09:00:00,88.459
2025-04-23 10:00:00,68.088
2025-04-23 11:00:00,35.239999999999995
2025-04-23 12:00:00,22.132
2025-04-23 13:00:00,7.577999999999999
2025-04-23 14:00:00,9.006999999999998
2025-04-23 15:00:00,1.317
2025-04-23 16:00:00,1.389
2025-04-23 17:00:00,0.332
2025-04-23 18:00:00,0.159
2025-04-23 19:00:00,0.159
2025-04-23 20:00:00,0.159
2025-04-23 21:00:00,0.159
2025-04-23 22:00:00,0.159
2025-04-23 23:00:00,0.159
2025-04-24 00:00:00,0.16
2025-04-24 01:00:00,0.16
2025-04-24 02:00:00,0.159
2025-04-24 03:00:00,0.15899999999999997
2025-04-24 04:00:00,0.15999999999999998
2025-04-24 05:00:00,0.159
2025-04-24 06:00:00,0.15799999999999997
2025-04-24 07:00:00,7.643
2025-04-24 08:00:00,66.191
2025-04-24 09:00:00,89.243
2025-04-24 10:00:00,65.985
2025-04-24 11:00:00,40.688
2025-04-24 12:00:00,27.950999999999997
2025-04-24 13:00:00,35.297000000000004
2025-04-24 14:00:00,33.868
2025-04-24 15:00:00,22.778000000000002
2025-04-24 16:00:00,17.23
2025-04-24 17:00:00,5.212
2025-04-24 18:00:00,0.16199999999999998
2025-04-24 19:00:00,0.16199999999999998
2025-04-24 20:00:00,0.16199999999999998
2025-04-24 21:00:00,0.161
2025-04-24 22:00:00,0.16
2025-04-24 23:00:00,0.16
2025-04-25 00:00:00,0.16
2025-04-25 01:00:00,0.16
2025-04-25 02:00:00,0.16
2025-04-25 03:00:00,0.16
2025-04-25 04:00:00,0.16
2025-04-25 05:00:00,0.159
2025-04-25 06:00:00,3.957
2025-04-25 07:00:00,32.29
2025-04-25 08:00:00,90.727
2025-04-25 09:00:00,93.596
2025-04-25 10:00:00,62.900999999999996
2025-04-25 11:00:00,27.731
2025-04-25 12:00:00,22.342
2025-04-25 13:00:00,34.138999999999996
2025-04-25 14:00:00,38.98
2025-04-25 15:00:00,27.972
2025-04-25 16:00:00,14.055
2025-04-25 17:00:00,0.342
2025-04-25 18:00:00,0.157
2025-04-25 19:00:00,0.157
2025-04-25 20:00:00,0.159
2025-04-25 21:00:00,0.159
2025-04-25 22:00:00,0.15899999999999997
2025-04-25 23:00:00,0.158
